,model,n_classes,accuracy,precision,recall,f1-score,auc roc,features
0,knn,2,0.751412429378531,0.6887542597500946,0.657007874015748,0.6672932330827068,0.657007874015748,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
1,random forest,2,0.7909604519774012,0.7780263157894737,0.6663779527559055,0.6870250896057347,0.6663779527559055,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
2,svm,2,0.7344632768361582,0.7662790697674419,0.5360629921259843,0.4941319550015202,0.5360629921259843,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
3,neural network,2,0.8248587570621468,0.835925925925926,0.714251968503937,0.7427446200009378,0.714251968503937,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
4,kmeans,2,0.373015873015873,0.4084539562731891,0.39084177215189875,0.3625526854036111,0.3908417721518987,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
