,model,n_classes,accuracy,precision,recall,f1-score,auc roc,features
0,knn,3,0.480225988700565,0.4809982644084027,0.4838831129936252,0.4771648382192188,0.6120964228788494,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
1,random forest,3,0.536723163841808,0.5373701171802984,0.5289368074273734,0.5295699243601454,0.6448208639181986,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
2,svm,3,0.5875706214689266,0.6098000993769828,0.5963051384075643,0.5831890256422176,0.6959839127627111,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
3,neural network,3,0.5819209039548022,0.6316147412921607,0.6054969409147307,0.5882662238826623,0.6996475190552992,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
4,kmeans,3,0.35374149659863946,0.3557587305380534,0.3518718855424135,0.35205426136314716,0.5111327056468404,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
