,model,n_classes,accuracy,precision,recall,f1-score,auc roc,features
0,knn,3,0.5336721728081322,0.5324359965626168,0.5461285127988965,0.5353389843960824,0.6553373308073541,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
1,random forest,3,0.5743329097839899,0.5752137568612467,0.5751867093466811,0.5749694897936172,0.6780059799174265,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
2,svm,3,0.5501905972045743,0.5686897632052091,0.562931018088713,0.5545415687538847,0.6674095899322577,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
3,neural network,3,0.4218551461245235,0.14061838204150784,0.3333333333333333,0.1977956508787608,0.5,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
4,kmeans,3,0.23499491353001017,0.2401956763933076,0.2351908493616834,0.23380483489087558,0.42780621045637207,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
