,model,n_classes,accuracy,precision,recall,f1-score,auc roc,features
0,knn,2,0.7458703939008895,0.6934625250360167,0.6697733580018501,0.6781502020251591,0.6697733580018501,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
1,random forest,2,0.7522236340533672,0.7032614861032331,0.6657493061979649,0.6768947026016435,0.6657493061979649,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
2,svm,2,0.7001270648030495,0.5737646386746644,0.5039816527906259,0.42767163811167264,0.503981652790626,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
3,neural network,2,0.7928843710292249,0.7620942791247116,0.7155064754856615,0.730776414787454,0.7155064754856614,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
4,kmeans,2,0.5918107833163785,0.5399891554832588,0.5461399721971986,0.5377200868557596,0.5461399721971986,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
