,model,n_classes,accuracy,precision,recall,f1-score,auc roc,features
0,knn,2,0.739972337482711,0.6660427279548238,0.6524071536794183,0.6579779725373855,0.6524071536794183,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
1,random forest,2,0.784923928077455,0.7318216528084167,0.6848662128560348,0.7001070317527534,0.6848662128560347,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
2,svm,2,0.7489626556016598,0.6952939781887151,0.5716600334920946,0.565911205388709,0.5716600334920945,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
3,neural network,2,0.7863070539419087,0.7321238364284722,0.6937901887011302,0.7073746737703148,0.6937901887011302,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
4,kmeans,2,0.36981184283342555,0.4475027227579753,0.4453469995501336,0.3695581286384021,0.4453469995501337,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
