,model,n_classes,accuracy,precision,recall,f1-score,auc roc,features
0,knn,3,0.4930843706777317,0.49376065033966193,0.4979632559980411,0.4938348862871358,0.6219415962995111,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
1,random forest,3,0.5387275242047026,0.5419800462863251,0.5383334333878822,0.5393516241401793,0.6518619629249421,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
2,svm,3,0.5359612724757953,0.550418594918346,0.542747183235318,0.5337140538208431,0.6548152032658541,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
3,neural network,3,0.39073305670816044,0.1302443522360535,0.3333333333333333,0.18730316592076912,0.5,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
4,kmeans,3,0.3184836745987825,0.34874293664776684,0.31723180278475266,0.3212458115425834,0.49227718541477944,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
