,case,normal_behaving_nodes_percentage,predicted,real,pings,window
45,grid_1gh-9_2019-02-15_19:19_,72.22222222222221,abnormal,abnormal,200,50
46,grid_1gh-5_2019-02-15_22:09_,86.11111111111111,abnormal,abnormal,200,50
47,grid_1gh-6_2019-02-15_18:25_,91.66666666666666,normal,abnormal,200,50
48,grid9_1bh-9_2019-02-13_19:35_,83.33333333333334,abnormal,abnormal,200,50
49,grid9_1bh-9_2019-02-13_15:57_,94.44444444444444,normal,abnormal,200,50
50,grid9_1bh-5_2019-02-13_21:44_,86.11111111111111,abnormal,abnormal,200,50
51,grid9_1bh-5_2019-02-13_15:31_,94.44444444444444,normal,abnormal,200,50
52,rnd2_1bh-3_2019-02-14_17:02_,77.77777777777779,abnormal,abnormal,200,50
53,rnd2_1bh-6_2019-02-15_16:56_,80.55555555555556,abnormal,abnormal,200,50
54,rnd2_normal_2019-02-14_16:07_,94.44444444444444,normal,normal,200,50
55,rnd-2_1gh-3_2019-02-16_11:41_,75.0,abnormal,abnormal,200,50
56,rnd2_1bh-8_2019-02-15_17:28_,100.0,normal,abnormal,200,50
57,grid_1gh-3_2019-02-15_22:33_,30.555555555555557,abnormal,abnormal,200,50
58,grid9_1bh-3_2019-02-13_16:28_,11.11111111111111,abnormal,abnormal,200,50
59,grid9_1bh-3_2019-02-13_22:05_,11.11111111111111,abnormal,abnormal,200,50
60,grid9_1bh-6_2019-02-13_19:15_,66.66666666666666,abnormal,abnormal,200,100
61,grid9_1bh-6_2019-02-13_12:59_,88.88888888888889,normal,abnormal,200,100
62,grid9_normal_2019-02-13_18:51_,100.0,normal,normal,200,100
63,grid9_normal_2019-02-13_22:23_,100.0,normal,normal,200,100
64,grid9_normal_2019-02-13_17:05_,100.0,normal,normal,200,100
65,grid9_1bh-7_2019-02-13_20:02_,88.88888888888889,normal,abnormal,200,100
66,grid9_1bh-7_2019-02-13_15:08_,88.88888888888889,normal,abnormal,200,100
67,rnd_1gh-2_2019-02-16_08:37_,88.88888888888889,normal,abnormal,200,100
68,rnd_1bh-2_2019-02-14_15:38_,88.88888888888889,normal,abnormal,200,100
69,rnd_1bh-7_2019-02-14_13:57_,100.0,normal,abnormal,200,100
70,rnd_1bh-9_2019-02-14_15:15_,22.22222222222222,abnormal,abnormal,200,100
71,rnd_1gh-9_2019-02-16_10:36_,44.44444444444444,abnormal,abnormal,200,100
72,rnd_normal_2019-02-14_13:37_,100.0,normal,normal,200,100
73,rnd_1gh-7_2019-02-16_10:16_,100.0,normal,abnormal,200,100
74,grid_1gh-7_2019-02-15_21:28_,100.0,normal,abnormal,200,100
75,grid_1gh-9_2019-02-15_19:19_,72.22222222222221,abnormal,abnormal,200,100
76,grid_1gh-5_2019-02-15_22:09_,94.44444444444444,normal,abnormal,200,100
77,grid_1gh-6_2019-02-15_18:25_,94.44444444444444,normal,abnormal,200,100
78,grid9_1bh-9_2019-02-13_19:35_,88.88888888888889,normal,abnormal,200,100
79,grid9_1bh-9_2019-02-13_15:57_,100.0,normal,abnormal,200,100
80,grid9_1bh-5_2019-02-13_21:44_,100.0,normal,abnormal,200,100
