,label,type,count,std,mean,var,hop,packet loss,outliers,node,predicted,predicted number,correction number
35,grid9_1bh-6_2019-02-13_19:15_,BH,0,0.0,,0.0,3,100.0,0,aaaa::212:7409:9:909,BH,0,0
36,grid9_1bh-6_2019-02-13_12:59_,BH,33,44.955860507161844,89.82424242424241,2021.0293939393941,1,34.0,1,aaaa::212:7403:3:303,normal,1,0
37,grid9_1bh-6_2019-02-13_12:59_,BH,38,62.12239771046588,107.25,3859.192297297297,1,24.0,1,aaaa::212:7403:3:303,normal,1,0
38,grid9_1bh-6_2019-02-13_12:59_,BH,45,41.208663034499295,94.18666666666665,1698.1539090909087,1,10.0,1,aaaa::212:7403:3:303,normal,1,0
39,grid9_1bh-6_2019-02-13_12:59_,BH,50,51.07824314176223,75.80399999999999,2608.98692244898,1,0.0,4,aaaa::212:7403:3:303,normal,1,0
40,grid9_1bh-6_2019-02-13_12:59_,BH,46,131.6834900277697,194.7608695652174,17340.54154589372,3,8.0,2,aaaa::212:7405:5:505,normal,1,0
41,grid9_1bh-6_2019-02-13_12:59_,BH,39,83.6810102172838,194.74358974358975,7002.511470985156,3,22.0,4,aaaa::212:7405:5:505,normal,1,0
42,grid9_1bh-6_2019-02-13_12:59_,BH,50,64.32565108691169,160.92,4137.789387755102,3,0.0,4,aaaa::212:7405:5:505,normal,1,0
43,grid9_1bh-6_2019-02-13_12:59_,BH,48,45.86632113973844,145.9375,2103.719414893617,3,4.0,2,aaaa::212:7405:5:505,normal,1,0
44,grid9_1bh-6_2019-02-13_12:59_,BH,47,37.3593065926575,100.12978723404258,1395.7177890841817,2,6.0,2,aaaa::212:7404:4:404,normal,1,0
45,grid9_1bh-6_2019-02-13_12:59_,BH,50,31.590322465422663,83.536,997.9484734693877,2,0.0,2,aaaa::212:7404:4:404,normal,1,0
46,grid9_1bh-6_2019-02-13_12:59_,BH,50,16.366740789834505,83.1,267.87020408163266,2,0.0,4,aaaa::212:7404:4:404,normal,1,0
47,grid9_1bh-6_2019-02-13_12:59_,BH,50,29.634123739296196,88.044,878.1812897959185,2,0.0,1,aaaa::212:7404:4:404,normal,1,0
48,grid9_1bh-6_2019-02-13_12:59_,BH,44,99.3076667986386,278.1818181818182,9862.012684989428,4,12.0,1,aaaa::212:740a:a:a0a,normal,1,0
49,grid9_1bh-6_2019-02-13_12:59_,BH,49,79.28556949793729,224.08163265306123,6286.201530612245,4,2.0,3,aaaa::212:740a:a:a0a,normal,1,0
50,grid9_1bh-6_2019-02-13_12:59_,BH,38,118.73798209757116,285.6842105263158,14098.708392603128,4,24.0,2,aaaa::212:740a:a:a0a,normal,1,0
51,grid9_1bh-6_2019-02-13_12:59_,BH,48,86.92366168652185,275.3541666666667,7555.722960992908,4,4.0,1,aaaa::212:740a:a:a0a,normal,1,0
52,grid9_1bh-6_2019-02-13_12:59_,BH,29,94.08973824155603,194.32068965517243,8852.878842364531,2,42.0,1,aaaa::212:7402:2:202,normal,1,0
53,grid9_1bh-6_2019-02-13_12:59_,BH,42,29.389608014287116,100.8857142857143,863.7490592334494,2,16.0,2,aaaa::212:7402:2:202,normal,1,0
54,grid9_1bh-6_2019-02-13_12:59_,BH,37,110.10826688053643,174.1108108108108,12123.830435435437,2,26.0,3,aaaa::212:7402:2:202,normal,1,0
55,grid9_1bh-6_2019-02-13_12:59_,BH,50,146.7566669764642,203.52200000000002,21537.519302040815,2,0.0,2,aaaa::212:7402:2:202,normal,1,0
56,grid9_1bh-6_2019-02-13_12:59_,BH,28,80.34693291986714,240.0,6455.62962962963,3,44.0,2,aaaa::212:7407:7:707,BH,0,0
57,grid9_1bh-6_2019-02-13_12:59_,BH,40,83.56510972949513,202.475,6983.127564102563,3,20.0,1,aaaa::212:7407:7:707,normal,1,0
58,grid9_1bh-6_2019-02-13_12:59_,BH,50,55.28059836056445,138.756,3055.944555102041,3,0.0,2,aaaa::212:7407:7:707,normal,1,0
59,grid9_1bh-6_2019-02-13_12:59_,BH,50,21.432384041778597,119.28399999999999,459.3470857142858,3,0.0,2,aaaa::212:7407:7:707,normal,1,0
60,grid9_1bh-6_2019-02-13_12:59_,BH,1,0.0,1.0,0.0,3,98.0,0,aaaa::212:7409:9:909,BH,0,0
61,grid9_1bh-6_2019-02-13_12:59_,BH,0,0.0,,0.0,3,100.0,0,aaaa::212:7409:9:909,BH,0,0
62,grid9_1bh-6_2019-02-13_12:59_,BH,0,0.0,,0.0,3,100.0,0,aaaa::212:7409:9:909,BH,0,0
63,grid9_1bh-6_2019-02-13_12:59_,BH,0,0.0,,0.0,3,100.0,0,aaaa::212:7409:9:909,BH,0,0
64,grid9_1bh-6_2019-02-13_12:59_,BH,32,132.42695795625747,348.0625,17536.899193548386,4,36.0,2,aaaa::212:7408:8:808,normal,1,0
65,grid9_1bh-6_2019-02-13_12:59_,BH,39,73.72166534079912,246.89743589743588,5434.883940620782,4,22.0,2,aaaa::212:7408:8:808,normal,1,0
66,grid9_1bh-6_2019-02-13_12:59_,BH,46,84.70327007473004,271.9782608695652,7174.643961352658,4,8.0,3,aaaa::212:7408:8:808,normal,1,0
67,grid9_1bh-6_2019-02-13_12:59_,BH,49,95.03710786186782,279.8979591836735,9032.051870748299,4,2.0,4,aaaa::212:7408:8:808,normal,1,0
68,grid9_1bh-6_2019-02-13_12:59_,BH,42,28.61989107115026,115.94761904761903,819.0981649245064,2,16.0,2,aaaa::212:7406:6:606,normal,1,0
69,grid9_1bh-6_2019-02-13_12:59_,BH,50,53.047761921667906,129.31599999999997,2814.0650448979595,2,0.0,3,aaaa::212:7406:6:606,normal,1,0
70,grid9_1bh-6_2019-02-13_12:59_,BH,50,42.96488974756491,150.12199999999999,1845.9817510204082,2,0.0,3,aaaa::212:7406:6:606,normal,1,0
71,grid9_1bh-6_2019-02-13_12:59_,BH,49,95.45619031109237,152.38979591836735,9111.884268707485,2,2.0,4,aaaa::212:7406:6:606,normal,1,0
72,grid9_normal_2019-02-13_18:51_,normal,49,174.00456409195115,126.0204081632653,30277.588324829932,1,2.0,2,aaaa::212:7403:3:303,normal,1,1
73,grid9_normal_2019-02-13_18:51_,normal,50,11.672993425433088,45.74,136.2587755102041,1,0.0,3,aaaa::212:7403:3:303,normal,1,1
74,grid9_normal_2019-02-13_18:51_,normal,49,30.619140283500453,52.630612244897954,937.5317517006802,1,2.0,2,aaaa::212:7403:3:303,normal,1,1
75,grid9_normal_2019-02-13_18:51_,normal,50,18.16460383969497,53.632,329.95283265306125,1,0.0,2,aaaa::212:7403:3:303,normal,1,1
76,grid9_normal_2019-02-13_18:51_,normal,45,239.37943691591767,225.2133333333333,57302.5148181818,2,10.0,3,aaaa::212:7404:4:404,normal,1,1
77,grid9_normal_2019-02-13_18:51_,normal,50,19.175876533194682,105.262,367.7142408163265,2,0.0,3,aaaa::212:7404:4:404,normal,1,1
78,grid9_normal_2019-02-13_18:51_,normal,50,34.95156788985558,114.512,1221.6120979591838,2,0.0,2,aaaa::212:7404:4:404,normal,1,1
79,grid9_normal_2019-02-13_18:51_,normal,49,33.09616040167399,120.44285714285714,1095.3558333333333,2,2.0,2,aaaa::212:7404:4:404,normal,1,1
80,grid9_normal_2019-02-13_18:51_,normal,40,281.32702819827284,425.975,79144.8967948718,4,20.0,2,aaaa::212:740a:a:a0a,normal,1,1
81,grid9_normal_2019-02-13_18:51_,normal,50,26.649930122051053,202.84,710.2187755102041,4,0.0,1,aaaa::212:740a:a:a0a,normal,1,1
82,grid9_normal_2019-02-13_18:51_,normal,50,107.9607562865284,240.84,11655.524897959182,4,0.0,3,aaaa::212:740a:a:a0a,normal,1,1
83,grid9_normal_2019-02-13_18:51_,normal,50,175.7206735191987,298.6,30877.755102040817,4,0.0,2,aaaa::212:740a:a:a0a,normal,1,1
84,grid9_normal_2019-02-13_18:51_,normal,31,389.3548482418864,430.258064516129,151597.19784946236,3,38.0,1,aaaa::212:7407:7:707,normal,1,1
85,grid9_normal_2019-02-13_18:51_,normal,50,25.571699918751857,178.92,653.9118367346938,3,0.0,2,aaaa::212:7407:7:707,normal,1,1
86,grid9_normal_2019-02-13_18:51_,normal,50,100.39518851793159,206.9,10079.193877551023,3,0.0,2,aaaa::212:7407:7:707,normal,1,1
87,grid9_normal_2019-02-13_18:51_,normal,49,38.529960071731864,209.3265306122449,1484.5578231292518,3,2.0,1,aaaa::212:7407:7:707,normal,1,1
88,grid9_normal_2019-02-13_18:51_,normal,42,288.3517549988513,462.73809523809524,83146.73461091754,4,16.0,3,aaaa::212:7408:8:808,normal,1,1
89,grid9_normal_2019-02-13_18:51_,normal,50,28.008460820813063,225.34,784.4738775510203,4,0.0,2,aaaa::212:7408:8:808,normal,1,1
90,grid9_normal_2019-02-13_18:51_,normal,49,36.89962713894542,235.20408163265307,1361.5824829931973,4,2.0,3,aaaa::212:7408:8:808,normal,1,1
91,grid9_normal_2019-02-13_18:51_,normal,50,63.85298484385353,252.98,4077.203673469388,4,0.0,1,aaaa::212:7408:8:808,normal,1,1
92,grid9_normal_2019-02-13_18:51_,normal,44,121.69475790468509,205.0590909090909,14809.614101479916,2,12.0,3,aaaa::212:7406:6:606,normal,1,1
93,grid9_normal_2019-02-13_18:51_,normal,50,30.73000262324248,114.24,944.3330612244898,2,0.0,3,aaaa::212:7406:6:606,normal,1,1
94,grid9_normal_2019-02-13_18:51_,normal,50,39.90513449649898,133.606,1592.4197591836732,2,0.0,2,aaaa::212:7406:6:606,normal,1,1
95,grid9_normal_2019-02-13_18:51_,normal,50,72.68205078368695,157.25199999999998,5282.680506122449,2,0.0,3,aaaa::212:7406:6:606,normal,1,1
96,grid9_normal_2019-02-13_18:51_,normal,39,299.7406526305803,423.7435897435897,89844.4588394062,3,22.0,2,aaaa::212:7405:5:505,normal,1,1
97,grid9_normal_2019-02-13_18:51_,normal,50,26.396505643817356,171.6,696.7755102040815,3,0.0,1,aaaa::212:7405:5:505,normal,1,1
98,grid9_normal_2019-02-13_18:51_,normal,50,70.95886707330192,205.32,5035.160816326531,3,0.0,3,aaaa::212:7405:5:505,normal,1,1
99,grid9_normal_2019-02-13_18:51_,normal,49,72.77210256385771,218.3673469387755,5295.778911564626,3,2.0,2,aaaa::212:7405:5:505,normal,1,1
100,grid9_normal_2019-02-13_18:51_,normal,38,185.46039488943785,206.62368421052628,34395.55807254622,2,24.0,2,aaaa::212:7402:2:202,normal,1,1
101,grid9_normal_2019-02-13_18:51_,normal,50,61.535153384393354,91.82,3786.575102040817,2,0.0,1,aaaa::212:7402:2:202,normal,1,1
102,grid9_normal_2019-02-13_18:51_,normal,48,20.703349572246474,90.20625,428.62868351063827,2,4.0,3,aaaa::212:7402:2:202,normal,1,1
