,model,n_classes,accuracy,precision,recall,f1-score,auc roc,features
0,knn,3,0.42696629213483145,0.42777777777777776,0.4360528360528361,0.42552008436391525,0.5756064556912014,"loss, max, mean, min, pckt_count, tr_time, var"
1,random forest,3,0.43820224719101125,0.4383333333333333,0.441025641025641,0.4394070614184466,0.5786029021198512,"loss, max, mean, min, pckt_count, tr_time, var"
2,svm,3,0.5056179775280899,0.5115740740740741,0.5185703185703185,0.48455122200605943,0.6360843252792406,"loss, max, mean, min, pckt_count, tr_time, var"
3,neural network,3,0.3707865168539326,0.12359550561797754,0.3333333333333333,0.18032786885245902,0.5,"loss, max, mean, min, pckt_count, tr_time, var"
4,kmeans,3,0.2873303167420814,0.2462340106061475,0.28795587839655634,0.26398897459470005,0.4637093740321923,"loss, max, mean, min, pckt_count, tr_time, var"
