,model,n_classes,accuracy,precision,recall,f1-score,auc roc,features
0,knn,3,0.4157303370786517,0.4149054505005562,0.41195177582274356,0.4124999999999999,0.5601938682069383,"max, mean, min, pckt_count, tr_time, var"
1,random forest,3,0.5955056179775281,0.6253869969040248,0.5897556207233626,0.5984040998125505,0.6907624573239145,"max, mean, min, pckt_count, tr_time, var"
2,svm,3,0.5280898876404494,0.5218253968253967,0.5240143369175628,0.5033598999843726,0.6429852062256122,"max, mean, min, pckt_count, tr_time, var"
3,neural network,3,0.3707865168539326,0.12359550561797754,0.3333333333333333,0.18032786885245902,0.5,"max, mean, min, pckt_count, tr_time, var"
4,kmeans,3,0.20135746606334842,0.1843301184755067,0.19495453322571968,0.1857585994035794,0.39911030301495565,"max, mean, min, pckt_count, tr_time, var"
