,model,n_classes,accuracy,precision,recall,f1-score,auc roc,features
0,knn,2,0.7415730337078652,0.6451831750339213,0.649859943977591,0.6473729543496985,0.649859943977591,"loss, max, mean, min, tr_time, var"
1,random forest,2,0.7528089887640449,0.663372859025033,0.6736694677871149,0.6679104477611941,0.6736694677871149,"loss, max, mean, min, tr_time, var"
2,svm,2,0.7640449438202247,0.38202247191011235,0.5,0.4331210191082802,0.5,"loss, max, mean, min, tr_time, var"
3,neural network,2,0.7303370786516854,0.6176691729323308,0.6095938375350141,0.6130434782608696,0.6095938375350141,"loss, max, mean, min, tr_time, var"
4,kmeans,2,0.34615384615384615,0.3655785123966942,0.3358107255520505,0.3267699313267172,0.3358107255520505,"loss, max, mean, min, tr_time, var"
