,model,n_classes,accuracy,precision,recall,f1-score,auc roc,features
0,knn,2,0.6741573033707865,0.5742857142857143,0.546594982078853,0.5405020473562401,0.546594982078853,"loss, max, mean, min, outliers, pckt_count, tr_time, var"
1,random forest,2,0.7078651685393258,0.6382882882882883,0.5916965352449224,0.5948879551820728,0.5916965352449224,"loss, max, mean, min, outliers, pckt_count, tr_time, var"
2,svm,2,0.6966292134831461,0.34831460674157305,0.5,0.41059602649006627,0.5,"loss, max, mean, min, outliers, pckt_count, tr_time, var"
3,neural network,2,0.7640449438202247,0.7341609589041096,0.6633811230585424,0.6780361757105943,0.6633811230585425,"loss, max, mean, min, outliers, pckt_count, tr_time, var"
4,kmeans,2,0.34841628959276016,0.38228157900289045,0.35919242902208204,0.33699999999999997,0.359192429022082,"loss, max, mean, min, outliers, pckt_count, tr_time, var"
