,model,n_classes,accuracy,precision,recall,f1-score,auc roc,features
0,knn,3,0.5056179775280899,0.5029868578255675,0.5070546737213404,0.5037215657905313,0.6297969072338893,"loss, max, mean, min, outliers, pckt_count, tr_time, var"
1,random forest,3,0.43820224719101125,0.4669117647058824,0.4392831206556697,0.4399881164587047,0.5779728905523432,"loss, max, mean, min, outliers, pckt_count, tr_time, var"
2,svm,3,0.5617977528089888,0.5774463631606489,0.5424836601307189,0.5360484394669918,0.6583474179377374,"loss, max, mean, min, outliers, pckt_count, tr_time, var"
3,neural network,3,0.42696629213483145,0.28047956771361027,0.3998599439775911,0.3295708406819518,0.5540283326445333,"loss, max, mean, min, outliers, pckt_count, tr_time, var"
4,kmeans,3,0.32805429864253394,0.3812226025340779,0.3255873015873016,0.332913355301415,0.5003116136290912,"loss, max, mean, min, outliers, pckt_count, tr_time, var"
