,model,n_classes,accuracy,precision,recall,f1-score,auc roc,features
0,knn,3,0.550561797752809,0.5516908212560386,0.5513227513227513,0.5453479853479853,0.6637537691301132,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
1,random forest,3,0.550561797752809,0.5643274853801169,0.5485008818342151,0.5525314427621565,0.6595551004153155,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
2,svm,3,0.5955056179775281,0.6148205659075224,0.6091710758377425,0.5925468638229904,0.7050236103999544,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
3,neural network,3,0.47191011235955055,0.4527665317139002,0.47054673721340384,0.44371268001404984,0.6005660806736076,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
4,kmeans,3,0.27149321266968324,0.23075351213282247,0.2658697874630078,0.24468358856024053,0.44989096948280266,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
