,model,n_classes,accuracy,precision,recall,f1-score,auc roc,features
0,knn,2,0.7865168539325843,0.6725563909774436,0.6795774647887324,0.6758673567184206,0.6795774647887324,"loss, max, mean, min, pckt_count, tr_time, var"
1,random forest,2,0.8202247191011236,0.719047619047619,0.6799687010954616,0.6952054794520548,0.6799687010954616,"loss, max, mean, min, pckt_count, tr_time, var"
2,svm,2,0.797752808988764,0.398876404494382,0.5,0.44375,0.5,"loss, max, mean, min, pckt_count, tr_time, var"
3,neural network,2,0.8314606741573034,0.7391891891891892,0.7077464788732395,0.7210031347962382,0.7077464788732395,"loss, max, mean, min, pckt_count, tr_time, var"
4,kmeans,2,0.6357466063348416,0.6126182180189148,0.6370347003154575,0.6062371695910317,0.6370347003154575,"loss, max, mean, min, pckt_count, tr_time, var"
