,Model,Window Size,Accuracy,Precision,Recall,F1-score
0,Kmeans,25,0.6666666666666666,0.5837320574162679,0.64,0.5738636363636364
1,Kmeans,50,0.6666666666666666,0.6244343891402715,0.72,0.6031746031746033
2,Kmeans,100,0.4666666666666667,0.6190476190476191,0.6799999999999999,0.45701357466063347
