,accuracy,auc roc,f1-score,features,model,n_classes,precision,recall
0,0.4943820224719101,0.6258988500513926,0.49542015133412987,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var",knn,3,0.49699074074074073,0.5039682539682541
1,0.5168539325842697,0.6278128729399916,0.5074879227053141,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var",random forest,3,0.5313914027149321,0.5011904761904762
2,0.5955056179775281,0.6836543922702116,0.5809387744871616,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var",svm,3,0.6081349206349206,0.576984126984127
3,0.6292134831460674,0.7040540804665097,0.61074621419449,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var",neural network,3,0.677437641723356,0.603968253968254
4,0.38235294117647056,0.5321510094546692,0.3839273235499651,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var",kmeans,3,0.3992264185367634,0.3805364541296745
