,model,n_classes,accuracy,precision,recall,f1-score,auc roc,features
0,knn,2,0.8034055727554179,0.7978104088103788,0.7945488721804511,0.7960103136103356,0.794548872180451,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
1,random forest,2,0.8297213622291022,0.8298883836295989,0.8157894736842105,0.8208179938473952,0.8157894736842106,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
2,svm,2,0.7523219814241486,0.7550619926857551,0.7263157894736842,0.7319724504190523,0.7263157894736842,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
3,neural network,2,0.8235294117647058,0.8473241661246864,0.7958646616541354,0.8064302461282895,0.7958646616541354,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
4,kmeans,2,0.375890920359467,0.3833995073753482,0.3821677047285872,0.3756678317217762,0.3821677047285872,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
