label,type,type_corrected,type_corrected_2,packet loss,node,count,std,mean,var,hop,outliers
grid_normal_2019-02-26_10:29_,normal,normal,normal,49,aaaa::212:740b:b:b0b,51,917.2466733,1019.019608,841341.4596,4,3
grid_1gh70-9_2019-02-19_23:34_,BH,normal,normal,50,aaaa::212:7407:7:707,50,378.2119781,446.84,143044.3004,2,4
grid_normal_2019-02-26_10:29_,normal,normal,normal,50,aaaa::212:7408:8:808,50,786.1549001,691.94,618039.5269,2,2
grid_normal_2019-02-26_10:29_,normal,normal,normal,50,aaaa::212:740a:a:a0a,50,665.7547017,1063.06,443229.3229,4,4
grid_1gh50-7_2019-02-19_22:53_,BH,normal,normal,51,aaaa::212:7403:3:303,49,240.9883319,201.4632653,58075.37612,1,3
grid_1gh50-7_2019-02-19_22:53_,BH,normal,normal,51,aaaa::212:7411:11:1111,49,871.933195,884.5918367,760267.4966,5,3
grid_1gh70-9_2019-02-19_23:34_,BH,normal,normal,51,aaaa::212:740a:a:a0a,49,442.0133013,654.3061224,195375.7585,4,1
grid_1gh70-9_2019-02-19_23:34_,BH,normal,normal,51,aaaa::212:7410:10:1010,49,518.4726244,719.6326531,268813.8622,4,2
grid_normal_2019-02-19_21:23_,normal,normal,normal,51,aaaa::212:740e:e:e0e,49,424.7807728,782.4081633,180438.7049,5,3
grid_normal_2019-02-26_10:29_,normal,normal,normal,51,aaaa::212:7411:11:1111,49,1002.303846,1196.857143,1004613,5,3
grid_normal_2019-02-26_11:10_,normal,normal,normal,51,aaaa::212:7404:4:404,49,112.1217912,157.8653061,12571.29606,1,3
grid_normal_2019-02-26_11:48_,normal,normal,normal,51,aaaa::212:7408:8:808,49,407.9667916,672.8163265,166436.9031,2,2
grid_normal_2019-02-26_11:48_,normal,normal,normal,51,aaaa::212:740d:d:d0d,49,626.9142956,974.6122449,393021.534,4,2
grid_1gh30-7_2019-02-19_22:35_,BH,normal,normal,52,aaaa::212:740c:c:c0c,48,1036.510628,918.875,1074354.282,3,3
grid_1gh50-7_2019-02-19_22:53_,BH,normal,normal,52,aaaa::212:7406:6:606,48,464.595254,567.875,215848.75,3,3
grid_1gh70-7_2019-02-19_23:11_,BH,normal,normal,52,aaaa::212:740b:b:b0b,48,207.2826213,401,42966.08511,3,2
grid_normal_2019-02-26_10:29_,normal,normal,normal,52,aaaa::212:740d:d:d0d,48,634.4089025,1032.9375,402474.6556,4,3
grid_1gh70-9_2019-02-19_23:34_,BH,normal,normal,53,aaaa::212:740c:c:c0c,47,397.808096,587.7446809,158251.2812,3,4
grid_normal_2019-02-19_21:23_,normal,normal,normal,53,aaaa::212:7406:6:606,47,315.3614844,522.2978723,99452.86586,3,2
grid_normal_2019-02-26_11:10_,normal,normal,normal,53,aaaa::212:7411:11:1111,47,347.70175,1046.595745,120896.5069,5,1
grid_normal_2019-02-26_11:48_,normal,normal,normal,53,aaaa::212:7403:3:303,47,245.210486,295.9191489,60128.18245,1,2
grid_normal_2019-02-26_11:48_,normal,normal,normal,53,aaaa::212:7407:7:707,47,464.50606,667.106383,215765.8797,2,3
grid_normal_2019-02-26_11:48_,normal,normal,normal,53,aaaa::212:740c:c:c0c,47,610.6199213,978.0851064,372856.6883,3,2
grid_1gh70-9_2019-02-19_23:34_,BH,normal,normal,55,aaaa::212:7411:11:1111,45,439.8225859,779.9555556,193443.9071,5,2
grid_normal_2019-02-19_21:23_,normal,normal,normal,55,aaaa::212:7410:10:1010,45,477.2965673,757.8222222,227812.0131,4,3
grid_normal_2019-02-26_11:48_,normal,normal,normal,55,aaaa::212:7404:4:404,45,256.4702343,300.46,65776.98109,1,3
grid_1gh50-9_2019-02-19_23:54_,BH,normal,GH,56,aaaa::212:740d:d:d0d,44,149.4744192,425.6590909,22342.60201,4,2
grid_1gh70-7_2019-02-19_23:11_,BH,normal,GH,56,aaaa::212:740f:f:f0f,44,166.0017958,470.0909091,27556.59619,4,2
grid_1gh70-9_2019-02-19_23:34_,BH,normal,GH,56,aaaa::212:7409:9:909,44,479.4576327,650.2272727,229879.6216,3,3
grid_normal_2019-02-26_10:29_,normal,normal,GH,56,aaaa::212:7409:9:909,44,846.603672,936.6136364,716737.7775,3,3
grid_1gh50-9_2019-02-19_23:54_,BH,normal,GH,57,aaaa::212:7403:3:303,43,124.0726553,147.4046512,15394.02379,1,3
grid_normal_2019-02-19_21:23_,normal,normal,GH,57,aaaa::212:740a:a:a0a,43,400.2735111,607.7906977,160218.8837,4,2
grid_1gh50-7_2019-02-19_22:53_,BH,normal,GH,59,aaaa::212:740f:f:f0f,41,635.2758216,658.9268293,403575.3695,4,2
grid_normal_2019-02-19_21:23_,normal,normal,GH,59,aaaa::212:740f:f:f0f,41,863.7221373,944.3414634,746015.9305,4,2
grid_1gh30-7_2019-02-19_22:35_,BH,abnormal,GH,61,aaaa::212:7408:8:808,39,696.2337296,735.4102564,484741.4062,2,2
grid_1gh30-7_2019-02-19_22:35_,BH,abnormal,GH,61,aaaa::212:740e:e:e0e,39,1120.706047,1095.538462,1255982.045,5,4
grid_1gh50-7_2019-02-19_22:53_,BH,abnormal,GH,61,aaaa::212:740d:d:d0d,39,580.732057,715.4102564,337249.722,4,3
grid_normal_2019-02-19_21:23_,normal,abnormal,GH,61,aaaa::212:740b:b:b0b,39,401.2264649,588.5384615,160982.6761,3,3
grid_1gh70-7_2019-02-19_23:11_,BH,abnormal,GH,62,aaaa::212:7409:9:909,38,396.4445721,646.8421053,157168.2987,3,3
grid_normal_2019-02-19_21:23_,normal,abnormal,GH,62,aaaa::212:740d:d:d0d,38,545.461641,778.2368421,297528.4018,4,3
grid_1gh30-7_2019-02-19_22:35_,BH,abnormal,GH,63,aaaa::212:740d:d:d0d,37,1400.297242,1246.459459,1960832.366,4,1
grid_1gh30-7_2019-02-19_22:35_,BH,abnormal,GH,66,aaaa::212:740a:a:a0a,34,1152.187833,1082.529412,1327536.802,4,2
grid_1gh50-9_2019-02-19_23:54_,BH,abnormal,GH,66,aaaa::212:7411:11:1111,34,332.8704576,559.4705882,110802.7415,5,2
grid_normal_2019-02-26_11:48_,normal,abnormal,GH,68,aaaa::212:740a:a:a0a,32,706.2838223,997.53125,498836.8377,4,1
grid_1gh30-7_2019-02-19_22:35_,BH,abnormal,BH,70,aaaa::212:7411:11:1111,30,1024.377427,1271.3,1049349.114,5,1
grid_normal_2019-02-26_10:29_,normal,abnormal,BH,70,aaaa::212:740c:c:c0c,30,1176.176975,1402,1383392.276,3,3
grid_1gh50-7_2019-02-19_22:53_,BH,abnormal,BH,71,aaaa::212:740b:b:b0b,29,427.4773091,479.7241379,182736.8498,3,2
grid_normal_2019-02-19_21:23_,normal,abnormal,BH,72,aaaa::212:7408:8:808,28,315.805502,382.6785714,99733.11508,2,1
grid_1gh50-7_2019-02-19_22:53_,BH,abnormal,BH,73,aaaa::212:7410:10:1010,27,937.7292555,847.8148148,879336.1567,5,2
grid_normal_2019-02-26_11:48_,normal,abnormal,BH,74,aaaa::212:7409:9:909,26,1230.248148,1068.230769,1513510.505,3,1
grid_1gh30-7_2019-02-19_22:35_,BH,abnormal,BH,75,aaaa::212:7406:6:606,25,436.6245832,525.88,190641.0267,3,2
grid_1gh30-9_2019-02-20_00:12_,BH,abnormal,BH,76,aaaa::212:740d:d:d0d,24,201.0822169,481.8333333,40434.05797,4,2
grid_normal_2019-02-26_11:48_,normal,abnormal,BH,76,aaaa::212:7410:10:1010,24,354.4583028,886.0833333,125640.6884,4,2
grid_1gh70-9_2019-02-19_23:34_,BH,abnormal,BH,77,aaaa::212:740d:d:d0d,23,493.738241,768.7826087,243777.4506,4,1
grid_normal_2019-02-26_11:48_,normal,abnormal,BH,77,aaaa::212:7411:11:1111,23,660.2530656,1222.73913,435934.1107,5,1
grid_1gh30-9_2019-02-20_00:12_,BH,abnormal,BH,83,aaaa::212:7411:11:1111,17,286.0006684,488.4117647,81796.38235,5,1
grid_1gh30-7_2019-02-19_22:35_,BH,abnormal,BH,85,aaaa::212:740f:f:f0f,15,982.194763,1550.466667,964706.5524,4,1
grid_1gh30-7_2019-02-19_22:35_,BH,abnormal,BH,91,aaaa::212:740b:b:b0b,9,678.7684518,1078.888889,460726.6111,3,0
grid_1bh-7_2019-02-19_22:13_,BH,abnormal,BH,99,aaaa::212:740b:b:b0b,1,0,1,0,10,0
grid_1bh-7_2019-02-19_22:13_,BH,abnormal,BH,99,aaaa::212:740f:f:f0f,1,0,1,0,10,0
grid_1bh-9_2019-02-20_00:30_,BH,abnormal,BH,99,aa::212:7411:11:1111,1,0,1,0,10,0
grid_1bh-9_2019-02-20_00:30_,BH,abnormal,BH,99,aaaa::212:740d:d:d0d,1,0,1,0,10,0
