label,type,type_corrected,type_corrected_2,packet loss,node,count,std,mean,var,hop,outliers
grid_1gh30-9_2019-02-20_00:12_,BH,normal,normal,28,aaaa::212:740c:c:c0c,72,218.4305947,326.0694444,47711.92469,3,5
grid_1gh50-9_2019-02-19_23:54_,BH,normal,normal,28,aaaa::212:740f:f:f0f,72,300.1087567,461.4583333,90065.26585,4,3
grid_1gh70-7_2019-02-19_23:11_,BH,normal,normal,28,aaaa::212:740d:d:d0d,72,243.0158417,528.5694444,59056.69933,4,3
grid_1gh70-7_2019-02-19_23:11_,BH,normal,normal,28,aaaa::212:7403:3:303,72,86.5114625,120.4597222,7484.233144,1,4
grid_normal_2019-02-26_11:48_,normal,normal,normal,28,aaaa::212:7405:5:505,72,532.4331339,642.7361111,283485.0421,2,4
grid_1bh-7_2019-02-19_22:13_,normal,normal,normal,29,aaaa::212:7407:7:707,71,183.2602321,341.3380282,33584.31268,2,3
grid_1gh30-7_2019-02-19_22:35_,BH,normal,normal,29,aaaa::212:7403:3:303,71,391.5072921,294.3859155,153277.9598,1,5
grid_1gh50-7_2019-02-19_22:53_,BH,normal,normal,29,aaaa::212:740a:a:a0a,71,553.0707844,629.3661972,305887.2926,4,4
grid_1gh70-7_2019-02-19_23:11_,BH,normal,normal,29,aaaa::212:740a:a:a0a,71,169.9281882,375.1971831,28875.58913,4,3
grid_normal_2019-02-19_21:23_,normal,normal,normal,29,aaaa::212:7404:4:404,71,352.4068166,284.9704225,124190.5644,1,5
grid_normal_2019-02-26_11:10_,normal,normal,normal,29,aaaa::212:740c:c:c0c,71,365.4739515,685.9295775,133571.2093,3,7
grid_normal_2019-02-26_11:10_,normal,normal,normal,29,aaaa::212:740d:d:d0d,71,310.6144686,683.2816901,96481.34809,4,3
grid_1bh-7_2019-02-19_22:13_,normal,normal,normal,30,aaaa::212:7405:5:505,70,172.209115,268.8571429,29655.9793,2,5
grid_normal_2019-02-19_21:23_,normal,normal,normal,30,aaaa::212:7407:7:707,70,417.6397461,485.3571429,174422.9576,2,2
grid_normal_2019-02-26_11:48_,normal,normal,normal,30,aaaa::212:7402:2:202,70,318.1789918,462.3142857,101237.8708,2,2
grid_1bh-7_2019-02-19_22:13_,normal,normal,normal,31,aaaa::212:740c:c:c0c,69,296.2619554,462.6376812,87771.14621,3,3
grid_1gh70-7_2019-02-19_23:11_,BH,normal,normal,31,aaaa::212:740c:c:c0c,69,168.9869898,409.0144928,28556.60273,3,3
grid_1bh-7_2019-02-19_22:13_,normal,normal,normal,32,aaaa::212:7404:4:404,68,169.6040459,160.2117647,28765.5324,1,6
grid_1gh50-7_2019-02-19_22:53_,BH,normal,normal,32,aaaa::212:7402:2:202,68,450.7941232,422.2970588,203215.3415,2,3
grid_1gh50-7_2019-02-19_22:53_,BH,normal,normal,32,aaaa::212:7404:4:404,68,318.675604,232.1294118,101554.1406,1,3
grid_1gh70-9_2019-02-19_23:34_,BH,normal,normal,32,aaaa::212:7406:6:606,68,397.8474266,525.8088235,158282.5748,3,4
grid_normal_2019-02-26_10:29_,normal,normal,normal,32,aaaa::212:740e:e:e0e,68,914.9875218,1230.882353,837202.1651,5,3
grid_normal_2019-02-26_10:53_,normal,normal,normal,32,aaaa::212:740f:f:f0f,68,369.3977325,794.8235294,136454.6848,4,3
grid_normal_2019-02-26_11:10_,normal,normal,normal,32,aaaa::212:7405:5:505,68,274.4945934,428.1764706,75347.28183,2,3
