,label,type,count,std,mean,var,hop,packet loss,outliers,node,window,predicted,predicted number,correction number
34,grid_normal_2019-02-26_11:48_,normal,8,334.5781992727133,391.5,111942.57142857143,1,68.0,1,aaaa::212:7404:4:404,25,BH,0,1
35,grid_normal_2019-02-26_11:48_,normal,13,130.5628319121605,161.08461538461538,17046.653076923078,1,48.0,1,aaaa::212:7404:4:404,25,BH,0,1
36,grid_normal_2019-02-26_11:48_,normal,17,426.7590758537297,842.0588235294117,182123.30882352943,3,32.0,0,aaaa::212:7406:6:606,25,normal,1,1
37,grid_normal_2019-02-26_11:48_,normal,12,545.3138101269319,940.6666666666666,297367.15151515155,3,52.0,1,aaaa::212:7406:6:606,25,BH,0,1
38,grid_normal_2019-02-26_11:48_,normal,16,734.9778114564639,930.875,540192.3833333333,3,36.0,1,aaaa::212:7406:6:606,25,normal,1,1
39,grid_normal_2019-02-26_11:48_,normal,9,491.7274256243098,1096.888888888889,241795.8611111111,3,64.0,0,aaaa::212:7406:6:606,25,BH,0,1
40,grid_normal_2019-02-26_11:48_,normal,19,379.42138928014435,564.421052631579,143960.59064327483,2,24.0,2,aaaa::212:7407:7:707,25,normal,1,1
41,grid_normal_2019-02-26_11:48_,normal,13,447.69082738322544,997.9230769230769,200427.07692307697,2,48.0,1,aaaa::212:7407:7:707,25,BH,0,1
42,grid_normal_2019-02-26_11:48_,normal,1,0.0,182.0,0.0,2,96.0,0,aaaa::212:7407:7:707,25,BH,0,1
43,grid_normal_2019-02-26_11:48_,normal,14,465.92512840018105,533.9285714285714,217086.2252747252,2,44.0,1,aaaa::212:7407:7:707,25,BH,0,1
44,grid_normal_2019-02-26_11:48_,normal,7,203.09638809477352,655.1428571428571,41248.14285714286,3,72.0,0,aaaa::212:7409:9:909,25,BH,0,1
45,grid_normal_2019-02-26_11:48_,normal,3,3001.4572016494476,3085.6666666666665,9008745.333333332,3,88.0,0,aaaa::212:7409:9:909,25,BH,0,1
46,grid_normal_2019-02-26_11:48_,normal,0,0.0,,0.0,3,100.0,0,aaaa::212:7409:9:909,25,BH,0,1
47,grid_normal_2019-02-26_11:48_,normal,16,607.9350534116836,870.6875,369585.0291666667,3,36.0,1,aaaa::212:7409:9:909,25,normal,1,1
48,grid_normal_2019-02-26_11:48_,normal,17,281.0811715501414,386.0,79006.625,2,32.0,2,aaaa::212:7402:2:202,25,normal,1,1
49,grid_normal_2019-02-26_11:48_,normal,15,288.6732705722114,455.4,83332.25714285715,2,40.0,1,aaaa::212:7402:2:202,25,normal,1,1
50,grid_normal_2019-02-26_11:48_,normal,19,414.69886911683716,585.4736842105264,171975.15204678362,2,24.0,1,aaaa::212:7402:2:202,25,normal,1,1
51,grid_normal_2019-02-26_11:48_,normal,19,238.60471606050834,412.89473684210526,56932.2105263158,2,24.0,1,aaaa::212:7402:2:202,25,normal,1,1
52,grid_normal_2019-02-26_11:48_,normal,19,316.740379232357,624.6315789473684,100324.46783625732,3,24.0,1,aaaa::212:740b:b:b0b,25,normal,1,1
53,grid_normal_2019-02-26_11:48_,normal,10,871.4203986085654,1202.2,759373.511111111,3,60.0,1,aaaa::212:740b:b:b0b,25,BH,0,1
54,grid_normal_2019-02-26_11:48_,normal,12,652.9499667592527,930.75,426343.6590909091,3,52.0,0,aaaa::212:740b:b:b0b,25,BH,0,1
55,grid_normal_2019-02-26_11:48_,normal,21,324.52582992069256,557.7142857142857,105317.01428571428,3,16.0,1,aaaa::212:740b:b:b0b,25,normal,1,1
56,grid_normal_2019-02-26_11:48_,normal,20,464.79064613742185,658.15,216030.34473684212,2,20.0,1,aaaa::212:7405:5:505,25,normal,1,1
57,grid_normal_2019-02-26_11:48_,normal,17,772.6222014519583,856.7647058823529,596945.0661764705,2,32.0,1,aaaa::212:7405:5:505,25,normal,1,1
58,grid_normal_2019-02-26_11:48_,normal,17,410.31306197040493,468.94117647058823,168356.80882352937,2,32.0,1,aaaa::212:7405:5:505,25,normal,1,1
59,grid_normal_2019-02-26_11:48_,normal,18,377.7925261442549,587.6111111111111,142727.19281045752,2,28.000000000000004,1,aaaa::212:7405:5:505,25,normal,1,1
60,grid_normal_2019-02-26_11:48_,normal,8,480.06361185635745,1146.75,230461.07142857142,5,68.0,0,aaaa::212:7411:11:1111,25,BH,0,1
61,grid_normal_2019-02-26_11:48_,normal,5,453.6846922698627,1444.4,205829.8,5,80.0,0,aaaa::212:7411:11:1111,25,BH,0,1
62,grid_normal_2019-02-26_11:48_,normal,5,1152.441842350407,1544.8,1328122.2,5,80.0,0,aaaa::212:7411:11:1111,25,BH,0,1
63,grid_normal_2019-02-26_11:48_,normal,5,187.1023783921519,800.6,35007.299999999996,5,80.0,0,aaaa::212:7411:11:1111,25,BH,0,1
64,grid_normal_2019-02-26_11:10_,normal,22,311.06471257803486,354.72727272727275,96761.25541125542,2,12.0,1,aaaa::212:7402:2:202,25,normal,1,1
65,grid_normal_2019-02-26_11:10_,normal,19,361.6904511542161,454.2631578947368,130819.98245614035,2,24.0,1,aaaa::212:7402:2:202,25,normal,1,1
66,grid_normal_2019-02-26_11:10_,normal,23,177.27981945881987,254.95652173913044,31428.134387351773,2,8.0,2,aaaa::212:7402:2:202,25,normal,1,1
67,grid_normal_2019-02-26_11:10_,normal,25,76.00657866263946,214.4,5777.0,2,0.0,1,aaaa::212:7402:2:202,25,normal,1,1
68,grid_normal_2019-02-26_11:10_,normal,18,143.47106925236983,647.2222222222222,20583.947712418303,4,28.000000000000004,1,aaaa::212:7410:10:1010,25,normal,1,1
69,grid_normal_2019-02-26_11:10_,normal,12,234.08849660422072,854.1666666666666,54797.42424242426,4,52.0,0,aaaa::212:7410:10:1010,25,BH,0,1
70,grid_normal_2019-02-26_11:10_,normal,15,430.74241557040625,918.2,185539.02857142856,4,40.0,1,aaaa::212:7410:10:1010,25,normal,1,1
71,grid_normal_2019-02-26_11:10_,normal,10,298.02080464289736,965.8,88816.4,4,60.0,1,aaaa::212:7410:10:1010,25,BH,0,1
72,grid_normal_2019-02-26_11:10_,normal,4,171.75761021470538,208.95,29500.676666666666,1,84.0,0,aaaa::212:7404:4:404,25,BH,0,1
73,grid_normal_2019-02-26_11:10_,normal,12,55.98717588552189,129.025,3134.563863636364,1,52.0,1,aaaa::212:7404:4:404,25,BH,0,1
74,grid_normal_2019-02-26_11:10_,normal,12,152.68895372917152,234.225,23313.916590909084,1,52.0,1,aaaa::212:7404:4:404,25,BH,0,1
75,grid_normal_2019-02-26_11:10_,normal,21,72.46652757685868,120.98095238095237,5251.397619047619,1,16.0,2,aaaa::212:7404:4:404,25,normal,1,1
76,grid_normal_2019-02-26_11:10_,normal,15,249.08852891712064,521.3333333333334,62045.095238095244,3,40.0,1,aaaa::212:7406:6:606,25,normal,1,1
77,grid_normal_2019-02-26_11:10_,normal,23,403.1624541383752,617.3478260869565,162539.96442687747,3,8.0,2,aaaa::212:7406:6:606,25,normal,1,1
78,grid_normal_2019-02-26_11:10_,normal,24,310.5815956173705,575.6666666666666,96460.92753623187,3,4.0,1,aaaa::212:7406:6:606,25,normal,1,1
79,grid_normal_2019-02-26_11:10_,normal,25,278.11470655109196,641.04,77347.79,3,0.0,2,aaaa::212:7406:6:606,25,normal,1,1
80,grid_normal_2019-02-26_11:10_,normal,14,78.14372078997198,175.45714285714286,6106.4410989010985,1,44.0,1,aaaa::212:7403:3:303,25,BH,0,1
81,grid_normal_2019-02-26_11:10_,normal,23,120.3947776696256,235.63913043478263,14494.902490118578,1,8.0,0,aaaa::212:7403:3:303,25,normal,1,1
82,grid_normal_2019-02-26_11:10_,normal,25,166.4936642438184,183.72400000000002,27720.140233333328,1,0.0,2,aaaa::212:7403:3:303,25,normal,1,1
83,grid_normal_2019-02-26_11:10_,normal,25,43.9126568694418,141.132,1928.3214333333337,1,0.0,2,aaaa::212:7403:3:303,25,normal,1,1
84,grid_normal_2019-02-26_11:10_,normal,3,251.33709104175875,644.3333333333334,63170.33333333333,3,88.0,0,aaaa::212:7409:9:909,25,BH,0,1
85,grid_normal_2019-02-26_11:10_,normal,21,463.0535143402511,737.5714285714286,214418.55714285714,3,16.0,1,aaaa::212:7409:9:909,25,normal,1,1
86,grid_normal_2019-02-26_11:10_,normal,22,373.07492893171286,786.9545454545455,139184.9025974026,3,12.0,1,aaaa::212:7409:9:909,25,normal,1,1
87,grid_normal_2019-02-26_11:10_,normal,12,215.55824285006145,919.0833333333334,46465.356060606064,3,52.0,0,aaaa::212:7409:9:909,25,BH,0,1
88,grid_normal_2019-02-26_11:10_,normal,24,84.69228187205522,507.5,7172.782608695652,5,4.0,1,aaaa::212:740e:e:e0e,25,normal,1,1
89,grid_normal_2019-02-26_11:10_,normal,24,200.5107969914461,658.6666666666666,40204.57971014492,5,4.0,1,aaaa::212:740e:e:e0e,25,normal,1,1
90,grid_normal_2019-02-26_11:10_,normal,14,158.76189926849787,712.4285714285714,25205.340659340665,5,44.0,1,aaaa::212:740e:e:e0e,25,BH,0,1
91,grid_normal_2019-02-26_11:10_,normal,25,245.13216163259088,657.12,60089.776666666665,5,0.0,1,aaaa::212:740e:e:e0e,25,normal,1,1
92,grid_normal_2019-02-26_11:10_,normal,16,461.503191574374,735.5625,212985.19583333333,4,36.0,1,aaaa::212:740a:a:a0a,25,normal,1,1
93,grid_normal_2019-02-26_11:10_,normal,24,130.5435681617666,417.8333333333333,17041.6231884058,4,4.0,2,aaaa::212:740a:a:a0a,25,normal,1,1
94,grid_normal_2019-02-26_11:10_,normal,25,81.68327042097829,406.36,6672.156666666666,4,0.0,1,aaaa::212:740a:a:a0a,25,normal,1,1
95,grid_normal_2019-02-26_11:10_,normal,22,273.7948049874125,561.5,74963.59523809524,4,12.0,2,aaaa::212:740a:a:a0a,25,normal,1,1
96,grid_normal_2019-02-26_11:10_,normal,24,111.5868414662132,434.3333333333333,12451.623188405798,4,4.0,2,aaaa::212:740f:f:f0f,25,normal,1,1
97,grid_normal_2019-02-26_11:10_,normal,18,248.88675667270613,587.8333333333334,61944.617647058825,4,28.000000000000004,1,aaaa::212:740f:f:f0f,25,normal,1,1
98,grid_normal_2019-02-26_11:10_,normal,18,221.1044469715348,705.3333333333334,48887.17647058824,4,28.000000000000004,0,aaaa::212:740f:f:f0f,25,normal,1,1
99,grid_normal_2019-02-26_11:10_,normal,24,291.33527861420663,784.375,84876.24456521739,4,4.0,2,aaaa::212:740f:f:f0f,25,normal,1,1
100,grid_normal_2019-02-26_11:10_,normal,9,168.10719133272607,396.44444444444446,28260.027777777774,2,64.0,0,aaaa::212:7405:5:505,25,BH,0,1
101,grid_normal_2019-02-26_11:10_,normal,18,293.2276380432416,572.7222222222222,85982.4477124183,2,28.000000000000004,2,aaaa::212:7405:5:505,25,normal,1,1
102,grid_normal_2019-02-26_11:10_,normal,18,265.9394004390518,442.0,70723.76470588235,2,28.000000000000004,0,aaaa::212:7405:5:505,25,normal,1,1
103,grid_normal_2019-02-26_11:10_,normal,23,259.679104192367,316.6521739130435,67433.2371541502,2,8.0,1,aaaa::212:7405:5:505,25,normal,1,1
104,grid_normal_2019-02-26_11:10_,normal,6,352.9241656031316,1021.3333333333334,124555.46666666665,5,76.0,0,aaaa::212:7411:11:1111,25,BH,0,1
105,grid_normal_2019-02-26_11:10_,normal,12,412.7520350334356,1074.3333333333333,170364.24242424246,5,52.0,1,aaaa::212:7411:11:1111,25,BH,0,1
