,case,normal_behaving_nodes_percentage,predicted,real,pings,window
0,grid_normal_2019-02-26_11:48_,18.75,abnormal,normal,100,100
1,grid_normal_2019-02-26_11:10_,68.75,abnormal,normal,100,100
2,grid_normal_2019-02-19_21:23_,31.25,abnormal,normal,100,100
3,grid_normal_2019-02-26_10:29_,18.75,abnormal,normal,100,100
4,grid_normal_2019-02-26_10:53_,81.25,abnormal,normal,100,100
5,grid_1bh-7_2019-02-19_22:13_,87.5,normal,abnormal,100,100
6,grid_1gh30-9_2019-02-20_00:12_,87.5,normal,abnormal,100,100
7,grid_1bh-9_2019-02-20_00:30_,87.5,normal,abnormal,100,100
8,grid_1gh50-7_2019-02-19_22:53_,43.75,abnormal,abnormal,100,100
9,grid_1gh70-9_2019-02-19_23:34_,37.5,abnormal,abnormal,100,100
10,grid_1gh50-9_2019-02-19_23:54_,81.25,abnormal,abnormal,100,100
11,grid_1gh30-7_2019-02-19_22:35_,25.0,abnormal,abnormal,100,100
12,grid_1gh70-7_2019-02-19_23:11_,75.0,abnormal,abnormal,100,100
