,label,type,count,std,mean,var,hop,packet loss,outliers,node,predicted,predicted number,correction number
0,grid_normal_2019-02-26_11:48_,normal,74,666.0533664841076,1055.1891891891892,443627.08700481296,5,63.0,3,aaaa::212:740e:e:e0e,BH,0,1
1,grid_normal_2019-02-26_11:48_,normal,79,528.8460691747003,791.1645569620254,279678.1648815319,2,60.5,3,aaaa::212:7408:8:808,BH,0,1
2,grid_normal_2019-02-26_11:48_,normal,85,810.1983024888058,1126.8588235294117,656421.2893557424,4,57.49999999999999,4,aaaa::212:740d:d:d0d,BH,0,1
3,grid_normal_2019-02-26_11:48_,normal,110,387.1718075917049,394.78545454545457,149902.00859382818,1,45.0,6,aaaa::212:7403:3:303,BH,0,1
4,grid_normal_2019-02-26_11:48_,normal,79,755.2698426495256,1116.506329113924,570432.535215839,4,60.5,5,aaaa::212:740a:a:a0a,BH,0,1
5,grid_normal_2019-02-26_11:48_,normal,87,972.0632076728893,1409.655172413793,944906.8797113069,4,56.49999999999999,4,aaaa::212:740f:f:f0f,BH,0,1
6,grid_normal_2019-02-26_11:48_,normal,58,820.3958991468467,1299.2758620689656,673049.431336963,4,71.0,4,aaaa::212:7410:10:1010,BH,0,1
7,grid_normal_2019-02-26_11:48_,normal,94,822.6306790759407,1109.3297872340424,676721.2341569435,3,53.0,4,aaaa::212:740c:c:c0c,BH,0,1
8,grid_normal_2019-02-26_11:48_,normal,75,331.59348803634265,379.024,109954.24130810812,1,62.5,3,aaaa::212:7404:4:404,BH,0,1
9,grid_normal_2019-02-26_11:48_,normal,97,503.6094704345225,902.7938144329897,253622.49871134022,3,51.5,4,aaaa::212:7406:6:606,BH,0,1
10,grid_normal_2019-02-26_11:48_,normal,109,574.3861536012699,676.5504587155963,329919.4534488617,2,45.5,6,aaaa::212:7407:7:707,BH,0,1
11,grid_normal_2019-02-26_11:48_,normal,64,935.2701539730103,1121.65625,874730.2609126985,3,68.0,1,aaaa::212:7409:9:909,BH,0,1
12,grid_normal_2019-02-26_11:48_,normal,132,348.7073007198085,506.9318181818182,121596.78157529494,2,34.0,7,aaaa::212:7402:2:202,normal,1,1
13,grid_normal_2019-02-26_11:48_,normal,108,744.4537683464711,952.7314814814815,554211.4132052612,3,46.0,5,aaaa::212:740b:b:b0b,BH,0,1
14,grid_normal_2019-02-26_11:48_,normal,128,535.0383701354739,701.7890625,286266.0575172244,2,36.0,8,aaaa::212:7405:5:505,normal,1,1
15,grid_normal_2019-02-26_11:48_,normal,57,844.4253911554711,1448.3859649122808,713054.2412280702,5,71.5,5,aaaa::212:7411:11:1111,BH,0,1
16,grid_normal_2019-02-26_11:10_,normal,163,305.8908248014644,344.70552147239266,93569.19669772021,2,18.5,5,aaaa::212:7402:2:202,normal,1,1
17,grid_normal_2019-02-26_11:10_,normal,104,410.3142241128563,893.8461538461538,168357.7625093353,4,48.0,6,aaaa::212:7410:10:1010,BH,0,1
18,grid_normal_2019-02-26_11:10_,normal,122,199.43422993264062,215.51803278688521,39774.01206882537,1,39.0,6,aaaa::212:7404:4:404,normal,1,1
19,grid_normal_2019-02-26_11:10_,normal,174,283.30609488521367,528.8563218390805,80262.3433991097,3,13.0,12,aaaa::212:7406:6:606,normal,1,1
20,grid_normal_2019-02-26_11:10_,normal,184,118.4021151397441,190.95217391304345,14019.060869565219,1,8.0,10,aaaa::212:7403:3:303,normal,1,1
21,grid_normal_2019-02-26_11:10_,normal,139,383.577608269893,662.8273381294964,147131.7815660515,3,30.5,8,aaaa::212:7409:9:909,normal,1,1
22,grid_normal_2019-02-26_11:10_,normal,142,283.946878196255,723.6971830985915,80625.82963739887,5,28.999999999999996,7,aaaa::212:740e:e:e0e,normal,1,1
23,grid_normal_2019-02-26_11:10_,normal,157,263.2849816168675,507.52866242038215,69318.98154499427,4,21.5,7,aaaa::212:740a:a:a0a,normal,1,1
24,grid_normal_2019-02-26_11:10_,normal,176,235.96059426407317,591.7215909090909,55677.40204545455,4,12.0,10,aaaa::212:740f:f:f0f,normal,1,1
25,grid_normal_2019-02-26_11:10_,normal,156,286.1260744492457,442.7628205128205,81868.13047973531,2,22.0,7,aaaa::212:7405:5:505,normal,1,1
26,grid_normal_2019-02-26_11:10_,normal,113,442.07423090710824,942.4601769911504,195429.62563211125,5,43.5,6,aaaa::212:7411:11:1111,BH,0,1
27,grid_normal_2019-02-26_11:10_,normal,141,347.4307387625368,624.6382978723404,120708.11823708208,3,29.5,9,aaaa::212:740c:c:c0c,normal,1,1
28,grid_normal_2019-02-26_11:10_,normal,147,291.3947787156034,425.97278911564626,84910.9170627155,2,26.5,11,aaaa::212:7408:8:808,normal,1,1
