,Model,Window Size,Accuracy,Precision,Recall,F1-score
0,Kmeans,25,0.6153846153846154,0.3076923076923077,0.5,0.380952380952381
1,Kmeans,50,0.6153846153846154,0.3076923076923077,0.5,0.380952380952381
2,Kmeans,100,0.38461538461538464,0.25,0.3125,0.2777777777777778
