,model,n_classes,accuracy,precision,recall,f1-score,auc roc,features
0,knn,3,0.5205479452054794,0.5224823563533242,0.5317131748776546,0.5203281836431876,0.6466876532607655,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
1,random forest,3,0.5753424657534246,0.5806533883255094,0.5600475819120921,0.5638878101402374,0.6696303192180233,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
2,svm,3,0.5684931506849316,0.6028202115158637,0.5617310322223351,0.5711700064641241,0.6682478005551236,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
3,neural network,3,0.410958904109589,0.136986301369863,0.3333333333333333,0.19417475728155342,0.5,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
4,kmeans,3,0.3243490178163545,0.3211973093928173,0.3257468562867086,0.32319108047715156,0.49145784665964803,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
