,model,n_classes,accuracy,precision,recall,f1-score,auc roc,features
0,knn,2,0.7374429223744292,0.6820175438596492,0.6485938782107069,0.6580981924071598,0.6485938782107069,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
1,random forest,2,0.7648401826484018,0.7252597402597403,0.6725141109481065,0.6864535768645359,0.6725141109481065,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
2,svm,2,0.7123287671232876,0.8545034642032332,0.5190839694656488,0.4516295707472178,0.5190839694656488,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
3,neural network,2,0.7808219178082192,0.7469845722300141,0.6970435388019991,0.7120946538124453,0.6970435388019991,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
4,kmeans,2,0.42256738236637736,0.4759823145904629,0.47232467772774933,0.417852466025039,0.47232467772774933,"hop, loss, max, mean, min, outliers, pckt_count, tr_time, var"
