	label	type	predicted	packet loss	outliers	std	hop	node	mean
0	grid9_1bh-3_2019-02-13_16:28_	BH	BH	98.0	0	0.0	4	aaaa::212:7408:8:808	1.0
1	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	4	aaaa::212:7408:8:808	
2	grid9_1bh-3_2019-02-13_16:28_	BH	BH	98.0	0	0.0	3	aaaa::212:7407:7:707	1.0
3	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	3	aaaa::212:7407:7:707	
4	grid9_1bh-3_2019-02-13_16:28_	BH	BH	98.0	0	0.0	2	aaaa::212:7402:2:202	1.0
5	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	2	aaaa::212:7402:2:202	
6	grid9_1bh-3_2019-02-13_16:28_	BH	BH	98.0	0	0.0	2	aaaa::212:7406:6:606	1.0
7	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	2	aaaa::212:7406:6:606	
8	grid9_1bh-3_2019-02-13_16:28_	BH	BH	98.0	0	0.0	3	aaaa::212:7409:9:909	1.0
9	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	3	aaaa::212:7409:9:909	
10	grid9_1bh-3_2019-02-13_16:28_	BH	BH	98.0	0	0.0	4	aaaa::212:740a:a:a0a	1.0
11	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	4	aaaa::212:740a:a:a0a	
12	grid9_1bh-3_2019-02-13_16:28_	BH	BH	98.0	0	0.0	2	aaaa::212:7404:4:404	1.0
13	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	2	aaaa::212:7404:4:404	
14	grid9_1bh-3_2019-02-13_16:28_	BH	BH	98.0	0	0.0	3	aaaa::212:7405:5:505	1.0
15	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	3	aaaa::212:7405:5:505	
16	grid9_1bh-3_2019-02-13_16:28_	BH	normal	0.0	2	161.6413262546942	1	aaaa::212:7403:3:303	191.52340425531915
17	grid9_1bh-3_2019-02-13_16:28_	BH	normal	0.0	2	166.71518982056855	1	aaaa::212:7403:3:303	142.6717391304348
18	grid9_1bh-3_2019-02-13_22:05_	BH	normal	0.0	3	81.83583555311408	1	aaaa::212:7403:3:303	96.59565217391301
19	grid9_1bh-3_2019-02-13_22:05_	BH	normal	0.0	1	70.31486622503735	1	aaaa::212:7403:3:303	74.086
20	grid9_1bh-3_2019-02-13_22:05_	BH	BH	98.0	0	0.0	3	aaaa::212:7409:9:909	1.0
21	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	3	aaaa::212:7409:9:909	
22	grid9_1bh-3_2019-02-13_22:05_	BH	BH	98.0	0	0.0	4	aaaa::212:740a:a:a0a	1.0
23	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	4	aaaa::212:740a:a:a0a	
24	grid9_1bh-3_2019-02-13_22:05_	BH	BH	98.0	0	0.0	4	aaaa::212:7408:8:808	1.0
25	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	4	aaaa::212:7408:8:808	
26	grid9_1bh-3_2019-02-13_22:05_	BH	BH	98.0	0	0.0	2	aaaa::212:7402:2:202	1.0
27	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	2	aaaa::212:7402:2:202	
28	grid9_1bh-3_2019-02-13_22:05_	BH	BH	98.0	0	0.0	2	aaaa::212:7406:6:606	1.0
29	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	2	aaaa::212:7406:6:606	
30	grid9_1bh-3_2019-02-13_22:05_	BH	BH	98.0	0	0.0	3	aaaa::212:7405:5:505	1.0
31	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	3	aaaa::212:7405:5:505	
32	grid9_1bh-3_2019-02-13_22:05_	BH	BH	98.0	0	0.0	2	aaaa::212:7404:4:404	1.0
33	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	2	aaaa::212:7404:4:404	
34	grid9_1bh-3_2019-02-13_22:05_	BH	BH	98.0	0	0.0	3	aaaa::212:7407:7:707	1.0
35	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	3	aaaa::212:7407:7:707	
36	grid9_1bh-5_2019-02-13_15:31_	BH	normal	0.0	3	222.81896319668678	3	aaaa::212:7405:5:505	322.3809523809524
37	grid9_1bh-5_2019-02-13_15:31_	BH	normal	0.0	2	32.42967273145672	3	aaaa::212:7405:5:505	184.1
38	grid9_1bh-5_2019-02-13_15:31_	BH	normal	38.0	2	193.11454063962046	4	aaaa::212:7408:8:808	377.3225806451613
39	grid9_1bh-5_2019-02-13_15:31_	BH	normal	0.0	1	135.69347271484713	4	aaaa::212:7408:8:808	374.1020408163265
40	grid9_1bh-5_2019-02-13_15:31_	BH	normal	0.0	3	200.62041586165702	2	aaaa::212:7406:6:606	275.48571428571427
41	grid9_1bh-5_2019-02-13_15:31_	BH	normal	0.0	1	69.64659165811229	2	aaaa::212:7406:6:606	141.434693877551
42	grid9_1bh-5_2019-02-13_15:31_	BH	normal	0.0	2	205.57860042421962	2	aaaa::212:7404:4:404	212.4619047619048
43	grid9_1bh-5_2019-02-13_15:31_	BH	normal	0.0	2	121.5632516995291	2	aaaa::212:7404:4:404	255.17857142857142
44	grid9_1bh-5_2019-02-13_15:31_	BH	normal	0.0	3	100.39109673890285	1	aaaa::212:7403:3:303	132.05454545454543
